row	verdict	clojure	wat said	koan
1	refused	true	unresolved: :wat::core::list	(= '(4 5 6) (list 4 5 6))
2	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::core::i64 `4`	(= 4 (first '(4 5 6)))
3	literal	true		(= '(5 6) (rest '(4 5 6)))
4	literal	true		(= 3 (count '(pear plum fig)))
5	literal	true		(= 0 (count '()))
6	literal	true		(= '() (rest '(fig)))
7	refused	true	unresolved: :wat::core::cons	(= '(:x :y :z) (cons :x '(:y :z)))
8	died	true	TypeMismatch: :wat::core::conj: expected (Vector :- [T]), (HashSet :- [T]), (PersistentVector :- [T]), or (List :- [T]), got wat::WatAST `<WatAST>`	(= '(:w :x :y :z) (conj '(:x :y :z) :w))
9	refused	true	unresolved: :wat::core::peek	(= :x (peek '(:x :y :z)))
10	refused	true	unresolved: :wat::core::pop	(= '(:y :z) (pop '(:x :y :z)))
11	refused	true	unresolved: :wat::core::try :wat::core::pop :wat::core::catch	(= "empty" (try (pop '()) (catch IllegalStateException e "empty")))
12	died	true	MalformedForm: malformed :wat::core::rest form: cannot take rest of empty form	(= '() (rest '()))
