row	verdict	clojure	wat said	koan
1	literal	true		(= true true)
2	literal	true		(= 2 (+ 1 1))
3	died	true	ArityMismatch: :wat::core::=: expected 2 arguments, got 3	(= (+ 2 5) 7 (+ 3 4))
4	literal	true		(= true (= 3 6/2))
5	literal	true		(= false (= 3 3.0))
6	refused	true	unresolved: :wat::core::==	(= true (== 3.0 3))
7	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::core::i64 `0`	(= true (not (= 0 nil)))
8	died	true	ArityMismatch: :wat::core::=: expected 2 arguments, got 3	(= false (= "pear" :pear 'pear))
9	refused	true	unresolved: :wat::core::keyword	(= :pear (keyword "pear"))
10	refused	true	unresolved: :wat::core::symbol	(= 'pear (symbol "pear"))
11	literal	true		(= nil nil)
12	literal	true		(not= :pear :plum)
