row	verdict	clojure	wat said	koan
1	refused	true	unresolved: :wat::core::hash-map	(= {:x 1 :y 2} (hash-map :x 1 :y 2))
2	refused	true	unresolved: :wat::core::hash-map	(= {:x 1} (hash-map :x 1))
3	literal	true		(= 3 (count {:x 1 :y 2 :z 3}))
4	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::core::i64 `2`	(= 2 (get {:x 1 :y 2} :y))
5	died	true	MalformedForm: malformed map form: call head must be a keyword, symbol, or list	(= 1 ({:x 1 :y 2} :x))
6	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::core::i64 `2`	(= 2 (:y {:x 1 :y 2}))
7	died	true	MalformedForm: malformed map form: call head must be a keyword, symbol, or list	(= "Lyon" ({1998 "Paris" 2007 "Lyon"} 2007))
8	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got () `()`	(= nil (get {:x 1} :z))
9	died	true	ArityMismatch: :wat::core::get: expected 2 arguments, got 3	(= :none (get {:x 1} :z :none))
10	literal	true		(= true (contains? {:x nil :y nil} :y))
11	literal	true		(= false (contains? {:x nil :y nil} :z))
12	literal	true		(= {1 "one" 2 "two"} (assoc {1 "one"} 2 "two"))
13	literal	true		(= {1 "one"} (dissoc {1 "one" 2 "two"} 2))
14	refused	true	unresolved: :wat::core::merge	(= {:x 1 :y 2 :z 3} (merge {:x 1 :y 2} {:z 3}))
15	refused	true	unresolved: :wat::core::merge-with	(= {:x 1 :y 5 :z 3} (merge-with + {:x 1 :y 2} {:y 3 :z 3}))
16	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::WatAST `<WatAST>`	(= '(1998 2007 2012) (sort (keys {2007 "Lyon" 1998 "Paris" 2012 "Nice"})))
17	refused	true	unresolved: :wat::core::vals	(= '("Lyon" "Nice" "Paris") (sort (vals {2007 "Lyon" 1998 "Paris" 2012 "Nice"})))
18	died	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= {:x 10 :y 20} (into {} (map (fn [[k v]] [k (* 10 v)]) {:x 1 :y 2})))
