row	verdict	clojure	wat said	koan
1	literal	true		(= 1 (count [7]))
2	refused	true	MalformedForm: malformed :wat::core::vec form: first argument must be a `(Head :- [T])` type param-spec	(= [7] (vec '(7)))
3	refused	true	unresolved: :wat::core::vector	(= [nil] (vector nil))
4	refused	true	MalformedForm: malformed :wat::core::vec form: first argument must be a `(Head :- [T])` type param-spec	(= [7 8] (vec '(7 8)))
5	literal	true		(= [4 5 6] (conj [4 5] 6))
6	literal	true		(= :pear (first [:pear :plum :fig :date]))
7	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::core::keyword; got (:wat::core::Option :- [:wat::core::keyword])	(= :date (last [:pear :plum :fig :date]))
8	literal	true		(= :date (nth [:pear :plum :fig :date] 3))
9	refused	true	unresolved: :wat::core::subvec	(= [:plum :fig] (subvec [:pear :plum :fig :date] 1 3))
10	refused	true	TypeMismatch: :wat::core::=: parameter #2 expects :wat::WatAST; got (:wat::core::Vector :- [:wat::core::i64])	(= true (= '(4 5 6) [4 5 6]))
